Kode,info_longName,info_sector,info_industry,info_marketCap,info_category,trading_recommendation,technical_trend,technical_momentum,technical_signal,price_action_market_structure,price_action_market_total_zones,fundamental_score,fundamental_rating,valuation_score,valuation_conclusion,valuation_reason,valuation_notes,info_website
PBSA.JK,PT Paramita Bangun Sarana Tbk,Industrials,Engineering & Construction,7500000133120.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,29.0,30.0,BURUK 🔴,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://paramita.co.id
ABMM.JK,PT ABM Investama Tbk,Energy,Thermal Coal,8314558611456.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,28.0,30.0,BURUK 🔴,35.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER sangat rendah (murah)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.abm-investama.com
CLEO.JK,PT Sariguna Primatirta Tbk,Consumer Defensive,Beverages - Non-Alcoholic,10944000294912.0,Menengah,WAIT,BEARISH,LEMAH (BEARISH),NO TRADE,HL,28.0,30.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://tanobel.com
MARK.JK,PT Mark Dynamics Indonesia Tbk,Healthcare,Medical Instruments & Supplies,3306000220160.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,30.0,30.0,BURUK 🔴,30.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER rendah|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.markdynamicsindo.com
POLA.JK,PT Pool Advista Finance Tbk,Financial Services,Credit Services,338458640384.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,10.0,30.0,BURUK 🔴,10.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PBV wajar,https://paf.co.id
SKRN.JK,PT Superkrane Mitra Utama Tbk,Industrials,Rental & Leasing Services,3594589831168.0,Kecil,WAIT,BEARISH,LEMAH (BEARISH),NO TRADE,HL,22.0,30.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://superkrane.com
ADRO.JK,PT Alamtri Resources Indonesia Tbk,Energy,Thermal Coal,63263681282048.0,Menengah,WAIT,BULLISH,KUAT (BULLISH),BUY,LL,38.0,30.0,BURUK 🔴,35.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,✅ PER sangat rendah (murah)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://www.alamtri.com
MDIY.JK,,Consumer Cyclical,Department Stores,25190392135680.0,Menengah,WAIT,BEARISH,NETRAL,NO TRADE,LL,25.0,30.0,BURUK 🔴,5.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,⚠️ PER sedang|❌ PBV sangat tinggi,https://corporate-id.mrdiy.com
RATU.JK,,Energy,Oil & Gas E&P,23349463875584.0,Menengah,WAIT,BEARISH,LEMAH (BEARISH),SELL,LL,35.0,30.0,BURUK 🔴,15.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|❌ PBV sangat tinggi|✅ Dividend yield tinggi,https://rec.co.id
MHKI.JK,,Industrials,Waste Management,1065000042496.0,Kecil,WAIT,BULLISH,KUAT (BULLISH),BUY,HL,37.0,30.0,BURUK 🔴,20.0,SAHAM MAHAL 🔴,Berbagai indikator valuasi menunjukkan harga relatif mahal,❌ PER tinggi (mahal)|⚠️ PBV agak tinggi|✅ Dividend yield tinggi,https://multihanna.co.id
